local-fog-cloud-1,0.00%,0.01%,273B / 0B
--,0.00%,0.00%,0B / 0B
--,0.00%,0.00%,0B / 0B
--,0.00%,0.00%,0B / 0B
local-fog-cloud-1,0.00%,0.01%,273B / 0B
--,0.00%,0.00%,0B / 0B
--,0.00%,0.00%,0B / 0B
--,0.00%,0.00%,0B / 0B
local-fog-cloud-1,124.85%,0.06%,969B / 0B
local-fog-node2-1,0.00%,0.06%,786B / 0B
local-fog-node1-1,0.00%,0.40%,786B / 0B
local-fog-node3-1,0.00%,0.40%,786B / 0B
local-fog-cloud-1,124.85%,0.06%,969B / 0B
local-fog-node2-1,0.00%,0.06%,786B / 0B
local-fog-node1-1,0.00%,0.40%,786B / 0B
local-fog-node3-1,0.00%,0.40%,786B / 0B
--,0.00%,0.00%,0B / 0B
local-fog-cloud-1,197.91%,0.27%,2.48kB / 0B
local-fog-node2-1,171.87%,0.23%,2.39kB / 0B
local-fog-node1-1,130.00%,0.11%,2.1kB / 0B
local-fog-node3-1,155.68%,0.14%,2.5kB / 0B
local-fog_client_run_238cb0a607ec,0.00%,0.26%,1.33kB / 0B
local-fog-cloud-1,197.91%,0.27%,2.48kB / 0B
local-fog-node2-1,171.87%,0.23%,2.39kB / 0B
local-fog-node1-1,130.00%,0.11%,2.1kB / 0B
local-fog-node3-1,155.68%,0.14%,2.5kB / 0B
local-fog_client_run_238cb0a607ec,0.00%,0.26%,1.33kB / 0B
local-fog-cloud-1,167.77%,0.45%,3.3kB / 0B
local-fog-node2-1,180.57%,0.44%,3.12kB / 0B
local-fog-node1-1,171.18%,0.34%,2.92kB / 0B
local-fog-node3-1,168.56%,0.34%,3.12kB / 0B
local-fog_client_run_238cb0a607ec,100.08%,0.05%,2.29kB / 0B
local-fog-cloud-1,167.77%,0.45%,3.3kB / 0B
local-fog-node2-1,180.57%,0.44%,3.12kB / 0B
local-fog-node1-1,171.18%,0.34%,2.92kB / 0B
local-fog-node3-1,168.56%,0.34%,3.12kB / 0B
local-fog_client_run_238cb0a607ec,100.08%,0.05%,2.29kB / 0B
local-fog-cloud-1,165.88%,0.44%,3.68kB / 0B
local-fog-node2-1,171.15%,0.36%,3.5kB / 0B
local-fog-node1-1,185.98%,0.45%,3.5kB / 0B
local-fog-node3-1,165.04%,0.39%,3.5kB / 0B
local-fog_client_run_238cb0a607ec,100.06%,0.13%,2.98kB / 0B
local-fog-cloud-1,165.88%,0.44%,3.68kB / 0B
local-fog-node2-1,171.15%,0.36%,3.5kB / 0B
local-fog-node1-1,185.98%,0.45%,3.5kB / 0B
local-fog-node3-1,165.04%,0.39%,3.5kB / 0B
local-fog_client_run_238cb0a607ec,100.06%,0.13%,2.98kB / 0B
local-fog-cloud-1,157.07%,0.49%,4.3kB / 0B
local-fog-node2-1,175.34%,0.51%,4.12kB / 0B
local-fog-node1-1,145.30%,0.46%,4.12kB / 0B
local-fog-node3-1,152.19%,0.46%,4.19kB / 0B
local-fog_client_run_238cb0a607ec,158.13%,0.38%,3.39kB / 0B
local-fog-cloud-1,157.07%,0.49%,4.3kB / 0B
local-fog-node2-1,175.34%,0.51%,4.12kB / 0B
local-fog-node1-1,145.30%,0.46%,4.12kB / 0B
local-fog-node3-1,152.19%,0.46%,4.19kB / 0B
local-fog_client_run_238cb0a607ec,158.13%,0.38%,3.39kB / 0B
local-fog-cloud-1,142.99%,0.21%,4.77kB / 0B
local-fog-node2-1,152.91%,0.18%,4.58kB / 0B
local-fog-node1-1,161.64%,0.44%,4.58kB / 0B
local-fog-node3-1,155.59%,0.43%,4.58kB / 0B
local-fog_client_run_238cb0a607ec,169.06%,0.44%,3.99kB / 0B
local-fog-cloud-1,142.99%,0.21%,4.77kB / 0B
local-fog-node2-1,152.91%,0.18%,4.58kB / 0B
local-fog-node1-1,161.64%,0.44%,4.58kB / 0B
local-fog-node3-1,155.59%,0.43%,4.58kB / 0B
local-fog_client_run_238cb0a607ec,169.06%,0.44%,3.99kB / 0B
local-fog-cloud-1,140.07%,0.41%,4.98kB / 0B
local-fog-node2-1,148.41%,0.36%,4.8kB / 0B
local-fog-node1-1,169.87%,0.30%,4.8kB / 0B
local-fog-node3-1,139.96%,0.26%,4.8kB / 0B
local-fog_client_run_238cb0a607ec,188.35%,0.49%,4.28kB / 0B
local-fog-cloud-1,140.07%,0.41%,4.98kB / 0B
local-fog-node2-1,148.41%,0.36%,4.8kB / 0B
local-fog-node1-1,169.87%,0.30%,4.8kB / 0B
local-fog-node3-1,139.96%,0.26%,4.8kB / 0B
local-fog_client_run_238cb0a607ec,188.35%,0.49%,4.28kB / 0B
local-fog-cloud-1,160.16%,0.44%,5.36kB / 0B
local-fog-node2-1,147.43%,0.40%,5.18kB / 0B
local-fog-node1-1,149.03%,0.29%,5.18kB / 0B
local-fog-node3-1,173.49%,0.45%,5.18kB / 0B
local-fog_client_run_238cb0a607ec,156.82%,0.34%,4.66kB / 0B
local-fog-cloud-1,160.16%,0.44%,5.36kB / 0B
local-fog-node2-1,147.43%,0.40%,5.18kB / 0B
local-fog-node1-1,149.03%,0.29%,5.18kB / 0B
local-fog-node3-1,173.49%,0.45%,5.18kB / 0B
local-fog_client_run_238cb0a607ec,156.82%,0.34%,4.66kB / 0B
local-fog-cloud-1,137.92%,0.47%,5.93kB / 0B
local-fog-node2-1,156.69%,0.48%,5.75kB / 0B
local-fog-node1-1,175.12%,0.31%,5.75kB / 0B
local-fog-node3-1,166.02%,0.35%,5.75kB / 0B
local-fog_client_run_238cb0a607ec,157.79%,0.27%,5.02kB / 0B
local-fog-cloud-1,137.92%,0.47%,5.93kB / 0B
local-fog-node2-1,156.69%,0.48%,5.75kB / 0B
local-fog-node1-1,175.12%,0.31%,5.75kB / 0B
local-fog-node3-1,166.02%,0.35%,5.75kB / 0B
local-fog_client_run_238cb0a607ec,157.79%,0.27%,5.02kB / 0B
local-fog-cloud-1,159.79%,0.61%,5.93kB / 0B
local-fog-node2-1,141.74%,0.59%,5.75kB / 0B
